Video_ID,Title,URL,Instructor
0,Quantum Physics,https://www.youtube.com/watch?v=jANZxzetPaQ&list=PLUl4u3cNGP60cspQn3N9dYRPiyVWDd80G&index=1&t=478s,Barton Zwiebach
1,Statistics,https://www.youtube.com/watch?v=h8EYEJ32oQ8&t=305s,Sal Khan (Khan Academy)
2,String Theory,https://www.youtube.com/watch?v=25haxRuZQUk&list=PL202191442DB1B300&index=1&t=297s,Leonard Susskind
3,Photosynthesis,https://www.youtube.com/watch?v=g78utcLQrJ4&t=313s,Paul Anderson
4,Linear Algebra 1,https://www.youtube.com/watch?v=ZK3O402wf1c&list=PL49CF3715CB9EF31D&index=1,Gilbert Strang
5,Linear Algebra 2,https://www.youtube.com/watch?v=br7tS1t2SFE,Sal Khan (Khan Academy)
6,General Biology,Private lecture,Muhammad Nasir Khan
7,"Ratios, Rates & Percentages",https://www.youtube.com/watch?v=bIKmw0aTmYc,Sal Khan (Khan Academy)
8,Numbers and Operations,https://www.youtube.com/watch?v=Y2-tz27nKoQ,Sal Khan (Khan Academy)
9,Computational Geometry,https://www.youtube.com/watch?v=_vfCXMSLMAU&list=PLNPbxFpuCy0-6GIUmiHCvj0H0hNxstOie,Tolga Can
10,Classical Mythology,https://www.youtube.com/watch?v=jaVT_nMxdMY,Jeremy Swist
